1,Truck
2,Car
3,Truck
4,Truck
5,Car
6,Golf Cart
7,Truck
8,Car
9,Car
10,Truck
11,Truck
12,Car
13,SUV
14,Car
15,Car
16,Truck
17,Truck
18,Car
19,SUV
20,Truck
21,Truck
22,Boat
23,SUV
24,Car
25,Car
26,Truck
27,Truck
28,Car
29,SUV
30,Truck
31,Train
32,Car
33,SUV
34,Car
35,Car
36,Truck
37,Truck
38,Car
39,SUV
40,Truck
41,Truck
42,Car
43,SUV
44,Car
45,Car
46,Truck
47,Truck
48,Car
49,SUV
50,Truck
51,Train
52,Car
53,SUV
54,Car
55,Car
56,Truck
57,Truck
58,Car
59,SUV
60,Car
61,Truck
62,Boat
